               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075983,            0.033848,            0.033146,             0.37562,             0.61667,             0.46439,             0.26865,            0.043316,            0.013162,            0.013768,             0.00128,             0.00128,             0.08848
                   1,            0.058424,            0.024372,            0.012846,             0.46024,             0.72333,             0.53051,             0.26972,             0.04214,            0.010091,           0.0065656,           0.0025447,           0.0025447,            0.076845
                   2,            0.053748,             0.02227,           0.0080031,             0.63246,             0.78405,             0.69777,             0.36302,            0.043775,            0.010252,           0.0057272,           0.0037098,           0.0037098,             0.06511
                   3,            0.049922,            0.020836,           0.0073426,             0.69576,             0.74918,              0.7653,             0.49434,            0.038478,           0.0090961,            0.008114,           0.0047074,           0.0047074,            0.053207
                   4,            0.049054,            0.019935,           0.0064192,             0.74741,             0.86389,              0.8278,             0.54451,            0.035618,           0.0087478,           0.0060753,           0.0054811,           0.0054811,            0.041081
                   5,            0.044078,            0.019904,           0.0060698,             0.76242,             0.74676,             0.79387,             0.49145,            0.031558,            0.009453,           0.0054509,           0.0059908,           0.0059908,            0.028691
                   6,            0.043362,            0.019272,           0.0067321,             0.69374,             0.73645,              0.7341,              0.4486,            0.036647,           0.0098458,            0.010608,           0.0062153,           0.0062153,            0.016015
                   7,            0.042757,            0.019429,           0.0066402,             0.76097,             0.79944,             0.81544,             0.53442,            0.032249,           0.0093099,           0.0047585,           0.0059704,           0.0059704,           0.0059704
                   8,            0.041232,            0.020032,           0.0071153,             0.75379,             0.70147,             0.75302,              0.5139,            0.034109,            0.011767,           0.0079614,           0.0059704,           0.0059704,           0.0059704
                   9,            0.039777,            0.020655,           0.0065854,             0.71973,             0.78948,             0.76449,             0.53516,            0.030669,           0.0097012,           0.0072116,           0.0050296,           0.0050296,           0.0050296
                  10,            0.037403,             0.01977,           0.0057077,             0.79864,             0.81287,             0.83259,             0.57327,            0.028482,           0.0093909,           0.0047884,           0.0041094,           0.0041094,           0.0041094
                  11,            0.034346,            0.018838,           0.0040684,             0.82187,             0.82673,             0.84054,             0.61376,            0.027001,           0.0086358,           0.0040751,             0.00325,             0.00325,             0.00325
                  12,             0.03188,            0.017451,           0.0035098,             0.82608,              0.8645,             0.86703,             0.66766,            0.025358,           0.0086059,           0.0041121,           0.0024889,           0.0024889,           0.0024889
                  13,            0.030266,            0.017534,           0.0030039,             0.84467,             0.84975,             0.86708,             0.66279,             0.02382,           0.0087411,           0.0036053,           0.0018594,           0.0018594,           0.0018594
                  14,            0.028204,            0.016327,           0.0027421,             0.84376,              0.8582,             0.86256,             0.66982,            0.023442,           0.0086234,           0.0038052,            0.001389,            0.001389,            0.001389
